Network	Shapelet Number	P-Value	Genes
random_ppi	17	0.01	gene44,gene69
random_ppi	16	0.03	gene49,gene66,gene96
random_ppi	36	0.04	gene45,gene86
random_ppi	1	0.08	gene10,gene26,gene41,gene51,gene59,gene90,gene99
random_ppi	2	0.11	gene44,gene69,gene83,gene96
random_ppi	45	0.11	gene1,gene13,gene16,gene28,gene31,gene42,gene46,gene48,gene51,gene56,gene6,gene68,gene7,gene71,gene74,gene76,gene84,gene86
random_ppi	30	0.19	gene38,gene81
random_ppi	30	0.19	gene44,gene66,gene69,gene96
random_ppi	55	0.19	gene66,gene96
random_ppi	55	0.19	gene20,gene26,gene41,gene59,gene65,gene72,gene75,gene86
random_ppi	46	0.2	gene10,gene13,gene19,gene24,gene60,gene70,gene79,gene83,gene91
random_ppi	10	0.21	gene15,gene22,gene63,gene76,gene77,gene95
random_ppi	27	0.22	gene58,gene73
random_ppi	39	0.22	gene16,gene56,gene62,gene66,gene76,gene82,gene83
random_ppi	39	0.22	gene30,gene91
random_ppi	27	0.22	gene45,gene49,gene86
random_ppi	21	0.27	gene45,gene73,gene86
random_ppi	7	0.28	gene12,gene31,gene39,gene40,gene48,gene84
random_ppi	19	0.28	gene33,gene57
random_ppi	47	0.29	gene11,gene9
random_ppi	56	0.29	gene11,gene9
random_ppi	60	0.3	gene64,gene98
random_ppi	49	0.3	gene70,gene79,gene90,gene99
random_ppi	31	0.32	gene17,gene29,gene54
random_ppi	28	0.32	gene11,gene9
random_ppi	12	0.38	gene24,gene80
random_ppi	12	0.38	gene13,gene16,gene19,gene23,gene26,gene27,gene28,gene33,gene36,gene38,gene44,gene45,gene46,gene49,gene54,gene58,gene6,gene61,gene62,gene66,gene68,gene69,gene73,gene74,gene79,gene81,gene83,gene86,gene91,gene92,gene96
random_ppi	12	0.38	gene43,gene60
random_ppi	6	0.4	gene23,gene61
random_ppi	6	0.4	gene3,gene37,gene80
random_ppi	41	0.4	gene18,gene26,gene85
random_ppi	0	0.47	gene31,gene39,gene42,gene48,gene7,gene84
