gene1	gene2	gene1_string_id	gene2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAAS	NUP58	9606.ENSP00000209873	9606.ENSP00000371155	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP62	9606.ENSP00000209873	9606.ENSP00000471191	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP160	9606.ENSP00000209873	9606.ENSP00000367721	0	0	0	0	0	0.800	0	0	0.800
AAAS	SEC13	9606.ENSP00000209873	9606.ENSP00000373312	0	0	0	0	0	0.803	0	0	0.803
AAAS	NUP37	9606.ENSP00000209873	9606.ENSP00000448054	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP133	9606.ENSP00000209873	9606.ENSP00000261396	0	0	0	0	0	0.839	0	0	0.839
AAAS	NUP98	9606.ENSP00000209873	9606.ENSP00000316032	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP54	9606.ENSP00000209873	9606.ENSP00000264883	0	0	0	0	0	0.842	0	0	0.842
AAAS	NUP107	9606.ENSP00000209873	9606.ENSP00000229179	0	0	0	0	0	0.879	0	0	0.879
AAAS	NUP210	9606.ENSP00000209873	9606.ENSP00000254508	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP43	9606.ENSP00000209873	9606.ENSP00000342262	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP188	9606.ENSP00000209873	9606.ENSP00000361658	0	0	0	0	0	0.829	0	0	0.829
AAAS	NUP93	9606.ENSP00000209873	9606.ENSP00000310668	0	0	0	0	0	0.842	0	0	0.842
AAAS	NUP85	9606.ENSP00000209873	9606.ENSP00000245544	0	0	0	0	0	0.800	0	0	0.800
AAAS	NUP205	9606.ENSP00000209873	9606.ENSP00000285968	0	0	0	0	0	0.842	0	0	0.842
AAAS	NUP35	9606.ENSP00000209873	9606.ENSP00000295119	0	0	0	0	0	0.832	0	0	0.832
AAAS	NUP155	9606.ENSP00000209873	9606.ENSP00000231498	0	0	0	0	0	0.855	0	0	0.855
AAAS	NUP214	9606.ENSP00000209873	9606.ENSP00000352400	0	0	0	0	0	0.805	0	0	0.805
AAAS	NUP88	9606.ENSP00000209873	9606.ENSP00000458954	0	0	0	0	0	0.800	0	0	0.800
AAAS	NDC1	9606.ENSP00000209873	9606.ENSP00000360483	0	0	0	0	0	0.937	0	0	0.937
AAAS	SEH1L	9606.ENSP00000209873	9606.ENSP00000382779	0	0	0	0	0	0.905	0	0	0.905
AAAS	RANBP2	9606.ENSP00000209873	9606.ENSP00000283195	0	0	0	0	0	0.800	0	0	0.800
ABCE1	CD74	9606.ENSP00000296577	9606.ENSP00000009530	0	0	0	0	0	0.744	0	0	0.744
ABCE1	SEC61B	9606.ENSP00000296577	9606.ENSP00000223641	0	0	0	0	0	0.800	0	0	0.800
ABCE1	RPS27A	9606.ENSP00000296577	9606.ENSP00000272317	0	0	0	0	0	0.960	0	0	0.960
ABCE1	UBA52	9606.ENSP00000296577	9606.ENSP00000388107	0	0	0	0	0	0.800	0	0	0.800
ABCE1	PA2G4	9606.ENSP00000296577	9606.ENSP00000302886	0	0	0	0	0	0.800	0	0	0.800
ABCE1	RPLP0	9606.ENSP00000296577	9606.ENSP00000449328	0	0	0	0	0	0.985	0	0	0.985
ABI1	NCKAP1L	9606.ENSP00000365312	9606.ENSP00000293373	0	0	0	0	0	0.732	0	0	0.732
ABI1	ABI2	9606.ENSP00000365312	9606.ENSP00000295851	0	0	0	0.964	0	0.751	0	0	0.751
ABI1	BAIAP2	9606.ENSP00000365312	9606.ENSP00000316338	0	0	0	0	0	0.839	0	0	0.839
ABI1	WASF3	9606.ENSP00000365312	9606.ENSP00000335055	0	0	0	0	0	0.779	0	0	0.779
ABI1	NCKAP1	9606.ENSP00000365312	9606.ENSP00000354251	0	0	0	0	0	0.908	0	0	0.908
ABI1	ABL1	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.876	0	0	0.876
ABI1	WASF2	9606.ENSP00000365312	9606.ENSP00000483313	0	0	0	0	0	0.915	0	0	0.915
ABI1	CYFIP2	9606.ENSP00000365312	9606.ENSP00000479719	0	0	0	0	0	0.861	0	0	0.861
ABI1	WASF1	9606.ENSP00000365312	9606.ENSP00000376367	0	0	0	0	0	0.888	0	0	0.888
ABI1	CYFIP1	9606.ENSP00000365312	9606.ENSP00000481038	0	0	0	0	0	0.838	0	0	0.838
ABI2	NCKAP1L	9606.ENSP00000295851	9606.ENSP00000293373	0	0	0	0	0	0.707	0	0	0.707
ABI2	TRIM32	9606.ENSP00000295851	9606.ENSP00000408292	0	0	0	0	0	0.754	0	0	0.754
ABI2	RAC1	9606.ENSP00000295851	9606.ENSP00000348461	0	0	0	0	0	0.873	0	0	0.873
ABI2	ABL1	9606.ENSP00000295851	9606.ENSP00000361423	0	0	0	0	0	0.868	0	0	0.868
ABI2	WASF3	9606.ENSP00000295851	9606.ENSP00000335055	0	0	0	0	0	0.781	0	0	0.781
ABI2	CYFIP2	9606.ENSP00000295851	9606.ENSP00000479719	0	0	0	0	0	0.741	0	0	0.741
ABI2	WASF1	9606.ENSP00000295851	9606.ENSP00000376367	0	0	0	0	0	0.990	0	0	0.990
ABI2	CYFIP1	9606.ENSP00000295851	9606.ENSP00000481038	0	0	0	0	0	0.988	0	0	0.988
ABI2	WASF2	9606.ENSP00000295851	9606.ENSP00000483313	0	0	0	0	0	0.885	0	0	0.885
ABI2	BRK1	9606.ENSP00000295851	9606.ENSP00000432472	0	0	0	0	0	0.985	0	0	0.985
ABI2	NCKAP1	9606.ENSP00000295851	9606.ENSP00000354251	0	0	0	0	0	0.989	0	0	0.989
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0	0.896	0	0	0.896
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.583	0	0.986	0	0	0.986
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0	0.788	0	0	0.788
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0	0.887	0	0	0.887
ABL1	FN1	9606.ENSP00000361423	9606.ENSP00000346839	0	0	0	0	0	0.900	0	0	0.900
ABL1	YWHAB	9606.ENSP00000361423	9606.ENSP00000361930	0	0	0	0	0	0.717	0	0	0.717
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0	0.793	0	0	0.793
ABL1	NCK1	9606.ENSP00000361423	9606.ENSP00000417273	0	0	0	0.606	0	0.778	0	0	0.778
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.748	0	0.846	0	0	0.846
ABL2	CRK	9606.ENSP00000427562	9606.ENSP00000300574	0	0	0	0.585	0	0.790	0	0	0.790
ACTB	DCTN6	9606.ENSP00000494750	9606.ENSP00000221114	0	0	0	0	0	0.851	0	0	0.851
ACTB	ACTR10	9606.ENSP00000494750	9606.ENSP00000254286	0	0	0	0.701	0	0.946	0	0	0.946
ACTB	DYNC1LI2	9606.ENSP00000494750	9606.ENSP00000258198	0	0	0	0	0	0.800	0	0	0.800
