gene1	gene2	gene1_string_id	gene2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1BG	SERPINA1	9606.ENSP00000263100	9606.ENSP00000416066	0	0	0	0	0.056	0	0.400	0.570	0.735
A1BG	CRK	9606.ENSP00000263100	9606.ENSP00000300574	0	0	0	0	0	0	0	0.745	0.745
A1BG	GAB3	9606.ENSP00000263100	9606.ENSP00000399588	0	0	0	0	0	0	0	0.821	0.821
A1BG	AHSG	9606.ENSP00000263100	9606.ENSP00000273784	0	0	0	0	0.100	0.067	0.400	0.736	0.849
A1BG	GAB2	9606.ENSP00000263100	9606.ENSP00000354952	0	0	0	0	0	0	0	0.856	0.856
A1BG	PTPN11	9606.ENSP00000263100	9606.ENSP00000489597	0	0	0	0	0	0.069	0	0.939	0.940
A1BG	CRISP3	9606.ENSP00000263100	9606.ENSP00000389026	0	0	0	0	0	0.292	0	0.920	0.941
A1BG	GRB2	9606.ENSP00000263100	9606.ENSP00000376345	0	0	0	0	0.062	0	0	0.992	0.992
AAAS	KPNB1	9606.ENSP00000209873	9606.ENSP00000290158	0	0	0	0	0.062	0.422	0.500	0	0.705
AAAS	POMC	9606.ENSP00000209873	9606.ENSP00000384092	0	0	0	0	0.042	0	0	0.759	0.759
AAAS	NUP50	9606.ENSP00000209873	9606.ENSP00000345895	0	0	0	0	0.128	0	0.800	0.593	0.922
AAAS	RAE1	9606.ENSP00000209873	9606.ENSP00000379181	0	0	0	0	0.060	0.094	0.800	0.608	0.924
AAAS	TPR	9606.ENSP00000209873	9606.ENSP00000356448	0	0	0	0	0.097	0	0.800	0.680	0.937
AAAS	NUP153	9606.ENSP00000209873	9606.ENSP00000444029	0	0	0	0	0.063	0.420	0.800	0.518	0.940
AAAS	NUP58	9606.ENSP00000209873	9606.ENSP00000371155	0	0	0	0	0.065	0.800	0.500	0.457	0.942
AAAS	NUP42	9606.ENSP00000209873	9606.ENSP00000258742	0	0	0	0	0.061	0.220	0.800	0.657	0.943
AAAS	NUP62	9606.ENSP00000209873	9606.ENSP00000471191	0	0	0	0	0.068	0.800	0.500	0.476	0.944
AAAS	NUP160	9606.ENSP00000209873	9606.ENSP00000367721	0	0	0	0	0.126	0.800	0.500	0.511	0.951
AAAS	SEC13	9606.ENSP00000209873	9606.ENSP00000373312	0	0	0	0	0.097	0.803	0.500	0.529	0.952
AAAS	NUP37	9606.ENSP00000209873	9606.ENSP00000448054	0	0	0	0	0.143	0.800	0.500	0.537	0.955
AAAS	NUP133	9606.ENSP00000209873	9606.ENSP00000261396	0	0	0	0	0.158	0.839	0.500	0.447	0.957
AAAS	NUP98	9606.ENSP00000209873	9606.ENSP00000316032	0	0	0	0	0.099	0.800	0.500	0.610	0.960
AAAS	NUP54	9606.ENSP00000209873	9606.ENSP00000264883	0	0	0	0	0.129	0.842	0.500	0.589	0.968
AAAS	NUP107	9606.ENSP00000209873	9606.ENSP00000229179	0	0	0	0	0.374	0.879	0.500	0.549	0.980
AAAS	NUP210	9606.ENSP00000209873	9606.ENSP00000254508	0	0	0	0	0.049	0.800	0.800	0.543	0.980
AAAS	NUP43	9606.ENSP00000209873	9606.ENSP00000342262	0	0	0	0	0.149	0.800	0.800	0.501	0.980
AAAS	NUP188	9606.ENSP00000209873	9606.ENSP00000361658	0	0	0	0	0.147	0.829	0.800	0.439	0.981
AAAS	NUP93	9606.ENSP00000209873	9606.ENSP00000310668	0	0	0	0	0.177	0.842	0.800	0.434	0.983
AAAS	NUP85	9606.ENSP00000209873	9606.ENSP00000245544	0	0	0	0	0.245	0.800	0.800	0.575	0.985
AAAS	NUP205	9606.ENSP00000209873	9606.ENSP00000285968	0	0	0	0	0.100	0.842	0.800	0.578	0.986
AAAS	NUP35	9606.ENSP00000209873	9606.ENSP00000295119	0	0	0	0	0.125	0.832	0.800	0.624	0.987
AAAS	NUP155	9606.ENSP00000209873	9606.ENSP00000231498	0	0	0	0	0.111	0.855	0.800	0.643	0.989
AAAS	NUP214	9606.ENSP00000209873	9606.ENSP00000352400	0	0	0	0	0.067	0.805	0.800	0.820	0.992
AAAS	NUP88	9606.ENSP00000209873	9606.ENSP00000458954	0	0	0	0	0.083	0.800	0.800	0.868	0.994
AAAS	NDC1	9606.ENSP00000209873	9606.ENSP00000360483	0	0	0	0	0.133	0.937	0.800	0.520	0.994
AAAS	SEH1L	9606.ENSP00000209873	9606.ENSP00000382779	0	0	0	0	0.079	0.905	0.800	0.727	0.994
AAAS	RANBP2	9606.ENSP00000209873	9606.ENSP00000283195	0	0	0	0	0.086	0.800	0.800	0.903	0.995
AAMP	NOD2	9606.ENSP00000403343	9606.ENSP00000300589	0	0	0	0	0	0	0.900	0.542	0.952
ABCE1	CD74	9606.ENSP00000296577	9606.ENSP00000009530	0	0	0	0	0.106	0.744	0	0	0.761
ABCE1	SEC61B	9606.ENSP00000296577	9606.ENSP00000223641	0	0	0	0	0.080	0.800	0	0.091	0.818
ABCE1	RPS27A	9606.ENSP00000296577	9606.ENSP00000272317	0	0	0	0	0.097	0.960	0	0.084	0.964
ABCE1	LTN1	9606.ENSP00000296577	9606.ENSP00000478783	0	0	0	0	0.149	0	0	0.762	0.789
ABCE1	PSMD14	9606.ENSP00000296577	9606.ENSP00000386541	0	0	0	0	0.496	0.483	0	0.269	0.793
ABCE1	EEF2	9606.ENSP00000296577	9606.ENSP00000307940	0	0	0	0	0.385	0	0	0.694	0.804
ABCE1	FLNA	9606.ENSP00000296577	9606.ENSP00000358866	0	0	0	0	0.042	0.292	0.750	0	0.815
ABCE1	UBA52	9606.ENSP00000296577	9606.ENSP00000388107	0	0	0	0	0.105	0.800	0	0.064	0.817
ABCE1	PA2G4	9606.ENSP00000296577	9606.ENSP00000302886	0.051	0	0	0	0.422	0.800	0	0.131	0.892
ABCE1	RPLP0	9606.ENSP00000296577	9606.ENSP00000449328	0	0	0	0	0.379	0.985	0	0.223	0.992
ABCE1	RNASEL	9606.ENSP00000296577	9606.ENSP00000356530	0	0	0	0	0.096	0.300	0.900	0.918	0.994
ABI1	WASL	9606.ENSP00000365312	9606.ENSP00000223023	0	0	0	0	0.042	0.610	0.400	0.921	0.980
ABI1	ARPC3	9606.ENSP00000365312	9606.ENSP00000228825	0	0	0	0	0.079	0.074	0.650	0.353	0.781
ABI1	VASP	9606.ENSP00000365312	9606.ENSP00000245932	0	0	0	0	0.054	0.372	0	0.764	0.848
ABI1	RAC2	9606.ENSP00000365312	9606.ENSP00000249071	0	0	0	0	0.056	0.169	0.500	0.326	0.700
ABI1	ACTR3	9606.ENSP00000365312	9606.ENSP00000263238	0	0	0	0	0.263	0.070	0.500	0.586	0.839
ABI1	ELMO2	9606.ENSP00000365312	9606.ENSP00000290246	0	0	0	0	0.055	0	0.500	0.540	0.763
ABI1	NCKAP1L	9606.ENSP00000365312	9606.ENSP00000293373	0	0	0	0	0.108	0.732	0.900	0.993	0.999
ABI1	ARPC5	9606.ENSP00000365312	9606.ENSP00000294742	0	0	0	0	0.120	0	0.650	0.246	0.747
ABI1	ARPC2	9606.ENSP00000365312	9606.ENSP00000295685	0	0	0	0	0.199	0	0.650	0.393	0.815
ABI1	ABI2	9606.ENSP00000365312	9606.ENSP00000295851	0	0	0.051	0.964	0	0.751	0.900	0.864	0.996
ABI1	CRK	9606.ENSP00000365312	9606.ENSP00000300574	0	0	0	0	0.042	0.078	0.500	0.453	0.726
ABI1	BAIAP2	9606.ENSP00000365312	9606.ENSP00000316338	0	0	0	0	0.042	0.839	0.400	0.847	0.984
ABI1	WASF3	9606.ENSP00000365312	9606.ENSP00000335055	0	0	0	0	0	0.779	0.800	0.941	0.997
ABI1	PTK2	9606.ENSP00000365312	9606.ENSP00000341189	0	0	0	0	0.053	0.072	0.500	0.501	0.751
ABI1	RAC1	9606.ENSP00000365312	9606.ENSP00000348461	0	0	0	0	0.074	0.170	0.500	0.481	0.774
ABI1	NCKAP1	9606.ENSP00000365312	9606.ENSP00000354251	0	0	0	0	0.060	0.908	0.900	0.997	0.999
ABI1	ENAH	9606.ENSP00000365312	9606.ENSP00000355809	0	0	0	0	0.042	0.631	0	0.707	0.887
ABI1	ABL1	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.876	0.400	0.977	0.998
ABI1	SRC	9606.ENSP00000365312	9606.ENSP00000362680	0	0	0	0	0.049	0.129	0.500	0.740	0.878
ABI1	ARPC1B	9606.ENSP00000365312	9606.ENSP00000389631	0	0	0	0	0.066	0	0.650	0.202	0.716
ABI1	DOCK1	9606.ENSP00000365312	9606.ENSP00000485033	0	0	0	0	0	0	0.500	0.470	0.723
ABI1	GRB2	9606.ENSP00000365312	9606.ENSP00000376345	0	0	0	0.619	0.060	0.078	0.500	0.452	0.730
ABI1	CDC42	9606.ENSP00000365312	9606.ENSP00000497733	0	0	0	0	0.064	0.074	0.400	0.689	0.816
ABI1	ACTR2	9606.ENSP00000365312	9606.ENSP00000367220	0	0	0	0	0.123	0.074	0.500	0.669	0.847
