,index,Pattern,Size,Median_Score,P_Value,Q_Value_FWER,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
0,18,PATTERN_42,3,2.5256178403678186e-05,0.000999000999000999,0.001998001998001998,"RNF19B, STAT1, UBE2L6",0.6945,0.4456,1.558,5.8666471567984454e-05
1,19,PATTERN_44,3,9.357417951009993e-06,0.002997002997002997,0.005994005994005994,"CARD9, TRIM62, UBE2D2",0.3805,0.2383,1.597,4.0254223473285635e-06
2,16,PATTERN_41,4,1.8195891486897993e-05,0.005994005994005994,0.005994005994005994,"DCTN1, KIF20A, RAB18, RAB6A",0.2273,0.1597,1.424,0.00286429417486911
3,20,PATTERN_44,3,1.0990802391265239e-05,0.002997002997002997,0.005994005994005994,"KCMF1, UBE2A, UBR4",0.3486,0.2667,1.307,0.007813627471576448
4,45,PATTERN_70,4,3.0619850338839076e-05,0.006993006993006993,0.006993006993006993,"BTN3A1, BTN3A2, BTN3A3, XDH",0.1956,0.1319,1.482,0.0018529205495144828
5,39,PATTERN_66,5,1.5775141290436427e-05,0.006993006993006993,0.006993006993006993,"ALOX15, ALOX5, COTL1, PLA2G2A, PLA2G6",0.2112,0.128,1.65,0.00032900883338992634
6,17,PATTERN_42,17,1.7805327668517448e-05,0.003996003996003996,0.007992007992007992,"AP1B1, AP1G1, AP1M1, AP1M2, AP1S1, AP1S2, AP1S3, AP2A1, AP2A2, AP2B1, AP2M1, AP2S1, CLTA, CLTC, DNM1, DNM2, VAMP2",0.314,0.228,1.377,0.002644999815590303
7,11,PATTERN_31,5,1.675609236649377e-05,0.001998001998001998,0.007992007992007992,"GDI2, RAB24, RAB5B, RAB5C, RBSN",0.2386,0.17,1.403,0.002014724469788373
8,29,PATTERN_57,26,1.4817337632523547e-05,0.003996003996003996,0.007992007992007992,"AGL, ALDOA, ALDOC, AMPD3, APRT, ARSA, ARSB, ASAH1, CANT1, DERA, GALNS, GLA, GLB1, GPI, GUSB, HK3, IMPDH1, IMPDH2, NEU1, PGAM1, PGM1, PGM2, PNP, PYGB, PYGL, TALDO1",0.1905,0.149,1.278,0.010419830578947782
9,31,PATTERN_58,5,1.8457752656059354e-05,0.004995004995004995,0.00999000999000999,"CDC20, CUL1, DSN1, FBXL19, SKP1",0.3605,0.2626,1.373,0.00131247990951204
10,22,PATTERN_51,11,1.9681592738103094e-05,0.004995004995004995,0.00999000999000999,"ARSA, ASAH1, GALNS, GLA, GLB1, GNS, HEXB, MAN2B1, MANBA, NEU1, PSAP",0.1565,0.1145,1.367,0.002071294873806043
11,48,PATTERN_9,5,3.7001773938822216e-05,0.000999000999000999,0.010989010989010988,"DDX58, IFNAR1, IL6, ISG15, STAT1",0.5488,0.3442,1.595,1.9027277301202643e-05
12,40,PATTERN_67,3,1.0665665667490254e-05,0.01098901098901099,0.01098901098901099,"KCMF1, UBE2A, UBR4",0.3486,0.2667,1.307,0.007813627471576448
13,42,PATTERN_68,4,6.08861859316588e-06,0.001998001998001998,0.011988011988011988,"FTH1, FTL, HMOX1, PLA2G6",1.4003,1.0509,1.333,9.361372803244649e-05
