,index,Pattern,Size,Median_Score,P_Value,Q_Value_FDR,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
0,33,PATTERN_44,3,1.0990802391265239e-05,0.000999000999000999,0.000999000999000999,"KCMF1, UBE2A, UBR4",0.3486,0.2667,1.307,0.007813627471576448
1,34,PATTERN_44,3,9.357417951009993e-06,0.000999000999000999,0.000999000999000999,"CARD9, TRIM62, UBE2D2",0.3805,0.2383,1.597,4.0254223473285635e-06
2,31,PATTERN_42,17,1.7805327668517448e-05,0.002997002997002997,0.002997002997002997,"AP1B1, AP1G1, AP1M1, AP1M2, AP1S1, AP1S2, AP1S3, AP2A1, AP2A2, AP2B1, AP2M1, AP2S1, CLTA, CLTC, DNM1, DNM2, VAMP2",0.314,0.228,1.377,0.002644999815590303
3,32,PATTERN_42,3,2.5256178403678186e-05,0.002997002997002997,0.002997002997002997,"RNF19B, STAT1, UBE2L6",0.6945,0.4456,1.558,5.8666471567984454e-05
4,66,PATTERN_69,10,2.3182076828559488e-05,0.000999000999000999,0.003996003996003996,"DDX3X, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3",0.4975,0.4005,1.242,0.034012903972797326
5,68,PATTERN_70,4,3.0619850338839076e-05,0.003996003996003996,0.003996003996003996,"BTN3A1, BTN3A2, BTN3A3, XDH",0.1956,0.1319,1.482,0.0018529205495144828
6,30,PATTERN_41,4,1.8195891486897993e-05,0.003996003996003996,0.003996003996003996,"DCTN1, KIF20A, RAB18, RAB6A",0.2273,0.1597,1.424,0.00286429417486911
7,47,PATTERN_56,3,3.6344127774110116e-05,0.007992007992007992,0.007992007992007992,"ADAM8, ASB17, ASB2",0.0451,0.0301,1.498,0.0045347621890866295
8,46,PATTERN_56,4,3.580595445846601e-05,0.005994005994005994,0.007992007992007992,"BTN3A1, BTN3A2, BTN3A3, XDH",0.1956,0.1319,1.482,0.0018529205495144828
9,61,PATTERN_66,5,1.5775141290436427e-05,0.007992007992007992,0.007992007992007992,"ALOX15, ALOX5, COTL1, PLA2G2A, PLA2G6",0.2112,0.128,1.65,0.00032900883338992634
10,29,PATTERN_39,17,1.5110997475096757e-05,0.001998001998001998,0.007992007992007992,"AMPD3, APRT, ARSA, ASAH1, CANT1, CTSA, GAA, GALNS, GLA, GLB1, HEXB, IMPDH1, IMPDH2, MGAM, NEU1, PNP, PSAP",0.1921,0.1371,1.401,0.0002561073868125683
11,50,PATTERN_58,5,1.8457752656059354e-05,0.004995004995004995,0.00999000999000999,"CDC20, CUL1, DSN1, FBXL19, SKP1",0.3605,0.2626,1.373,0.00131247990951204
12,72,PATTERN_9,5,3.7001773938822216e-05,0.000999000999000999,0.010989010989010988,"DDX58, IFNAR1, IL6, ISG15, STAT1",0.5488,0.3442,1.595,1.9027277301202643e-05
13,64,PATTERN_68,4,6.08861859316588e-06,0.002997002997002997,0.011988011988011988,"FTH1, FTL, HMOX1, PLA2G6",1.4003,1.0509,1.333,9.361372803244649e-05
14,23,PATTERN_31,5,1.675609236649377e-05,0.002997002997002997,0.011988011988011988,"GDI2, RAB24, RAB5B, RAB5C, RBSN",0.2386,0.17,1.403,0.002014724469788373
15,27,PATTERN_38,6,1.0317824156000528e-05,0.011988011988011988,0.011988011988011988,"ADAM10, IL6, NCSTN, PSEN1, TLR6, TNF",0.1602,0.1254,1.277,0.019264957710427737
16,12,PATTERN_24,6,2.001846929197076e-05,0.005994005994005994,0.011988011988011988,"GDI2, RAB14, RAB24, RAB5B, RAB5C, RBSN",0.2753,0.1963,1.403,0.0013515889443097174
17,28,PATTERN_38,3,1.5575653093755064e-05,0.008991008991008992,0.011988011988011988,"RAP1A, RAP1B, SIPA1",0.7791,0.5697,1.368,0.0006670546141028602
18,63,PATTERN_68,25,6.1543276770267874e-06,0.003996003996003996,0.011988011988011988,"AP1B1, AP1G1, AP1M1, AP1M2, AP1S1, AP1S2, AP1S3, AP2A1, AP2A2, AP2B1, AP2M1, AP2S1, ARF1, CLTA, CLTC, SNAP23, SNAP25, SNAP29, STX1A, STX3, STX4, VAMP2, VAMP3, VAMP7, VAMP8",0.2969,0.2142,1.386,0.0017024420926541794
19,62,PATTERN_67,3,1.0665665667490254e-05,0.012987012987012988,0.012987012987012988,"KCMF1, UBE2A, UBR4",0.3486,0.2667,1.307,0.007813627471576448
20,13,PATTERN_24,5,6.223677045618017e-05,0.00999000999000999,0.01332001332001332,"EDA, EDA2R, EDAR, EDARADD, TRAF6",0.0453,0.0258,1.756,0.0008863262728199183
21,38,PATTERN_51,11,1.9681592738103094e-05,0.006993006993006993,0.013986013986013986,"ARSA, ASAH1, GALNS, GLA, GLB1, GNS, HEXB, MAN2B1, MANBA, NEU1, PSAP",0.1565,0.1145,1.367,0.002071294873806043
22,65,PATTERN_69,24,1.6254694477162342e-05,0.006993006993006993,0.013986013986013986,"ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, TCIRG1",0.2735,0.1999,1.369,0.0002052844876127755
23,52,PATTERN_59,3,1.835234917360779e-05,0.005994005994005994,0.014985014985014984,"BTN2A1, CD209, XDH",0.0572,0.0395,1.447,0.0034373303574209493
24,51,PATTERN_59,4,3.430933412843392e-05,0.005994005994005994,0.014985014985014984,"ARMC8, UBA1, UBE2H, YPEL5",0.2992,0.1984,1.508,0.00019773403327938646
25,6,PATTERN_13,3,2.2749911256414153e-05,0.008991008991008992,0.014985014985014988,"ADGRE5, CD55, CD59",0.3677,0.2934,1.253,0.025102754657663262
26,5,PATTERN_13,5,1.2896370742455417e-05,0.007992007992007992,0.014985014985014988,"RAP1A, RAP1B, RAP1GAP2, YWHAB, YWHAZ",1.0755,0.7586,1.418,6.128293541633518e-05
27,48,PATTERN_57,26,1.4817337632523547e-05,0.007992007992007992,0.015984015984015984,"AGL, ALDOA, ALDOC, AMPD3, APRT, ARSA, ARSB, ASAH1, CANT1, DERA, GALNS, GLA, GLB1, GPI, GUSB, HK3, IMPDH1, IMPDH2, NEU1, PGAM1, PGM1, PGM2, PNP, PYGB, PYGL, TALDO1",0.1905,0.149,1.278,0.010419830578947782
