,index,Pattern,Size,Median_Score,P_Value,Q_Value_FWER,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
0,16,PATTERN_54,7,6.021586301340779e-06,0.001998001998001998,0.001998001998001998,"GDI2, LNPEP, RAB10, RAB14, SNAP23, STX4, VAMP2",0.4339,0.3159,1.373,0.0007342034494174374
1,31,PATTERN_67,3,4.0248113052688e-06,0.002997002997002997,0.002997002997002997,"RNF123, UBAC1, VIM",0.8495,0.5196,1.635,2.4384348967762845e-05
2,27,PATTERN_64,7,1.1776002626740304e-05,0.002997002997002997,0.002997002997002997,"APOB, CYB5R3, HBB, HP, SAR1B, SEC24B, SURF4",0.1955,0.1326,1.475,3.10163643037002e-05
3,25,PATTERN_63,3,1.2162343679378301e-05,0.001998001998001998,0.003996003996003996,"CAPN1, FTH1, FTL",1.8424,1.4203,1.297,0.0019055631669592282
4,4,PATTERN_31,12,9.180040640494634e-06,0.000999000999000999,0.004995004995004995,"BCL2, BCL2L1, CD74, CPPED1, CST3, CSTB, CTSB, CTSD, CTSH, CTSL, CTSS, LGMN",0.4731,0.3222,1.468,0.0002294690284111731
5,11,PATTERN_45,15,1.4273243161098243e-05,0.002997002997002997,0.005994005994005994,"AMPD3, APRT, ARSA, CANT1, CTSA, CTSB, CTSD, CTSS, GALNS, GLA, GLB1, IMPDH1, IMPDH2, NEU1, PNP",0.2169,0.1753,1.238,0.026041762885900644
6,8,PATTERN_40,5,2.361309256467208e-05,0.000999000999000999,0.006993006993006993,"CAPN1, FTH1, FTL, HMOX1, PLA2G6",1.1237,0.8638,1.301,0.001562626511567039
7,38,PATTERN_9,23,2.670267159219229e-05,0.001998001998001998,0.007992007992007992,"COPB1, GDI2, LNPEP, RAB10, RAB14, SAR1B, SEC13, SEC22B, SEC23A, SEC24A, SEC24B, SEC24C, SEC24D, SEC31A, SNAP23, SNAP25, SNAP29, STX1A, STX3, STX4, VAMP2, VAMP3, VAMP8",0.2941,0.2107,1.396,0.0004489265741848019
8,32,PATTERN_68,3,4.197613688759312e-06,0.008991008991008992,0.008991008991008992,"ADGRE5, CD55, CD59",0.4182,0.2909,1.438,0.0005669749046201821
9,10,PATTERN_43,3,1.832183534694789e-05,0.008991008991008992,0.008991008991008992,"LNPEP, RAB10, RAB14",0.5246,0.3859,1.359,0.0009427780813554497
10,13,PATTERN_50,3,8.885417453686535e-06,0.003996003996003996,0.011988011988011988,"UBE2A, UBR1, UBR2",0.4674,0.3086,1.514,0.0001243246100461915
11,15,PATTERN_53,8,3.750139355004303e-06,0.003996003996003996,0.015984015984015984,"C1QB, CST3, CSTB, CTSB, CTSH, CTSL, CTSS, MT2A",0.4178,0.311,1.344,0.002644999815590303
12,18,PATTERN_55,3,1.89555989649151e-05,0.003996003996003996,0.015984015984015984,"PIK3C3, RAB5C, RBSN",0.1957,0.1542,1.269,0.022028051860136816
13,9,PATTERN_42,4,5.335748427081246e-06,0.003996003996003996,0.015984015984015984,"UBE2Q1, UBE2Q2, UBE2R2, UBE2Z",0.2543,0.193,1.317,0.015497350831199097
14,24,PATTERN_62,5,4.655885994461364e-05,0.003996003996003996,0.01998001998001998,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
15,26,PATTERN_63,3,7.8231862821145e-06,0.00999000999000999,0.01998001998001998,"ERAP1, ERAP2, TPP2",0.3076,0.217,1.418,0.0030189872690971325
16,17,PATTERN_55,5,1.199199285843198e-05,0.004995004995004995,0.01998001998001998,"RAP1A, RAP1B, RAP1GAP2, YWHAB, YWHAZ",1.1419,0.7553,1.512,4.827476904520047e-06
17,39,PATTERN_9,11,3.682772601649449e-05,0.004995004995004995,0.01998001998001998,"AMPD3, APRT, CANT1, FTL, HMOX1, IMPDH1, IMPDH2, MTAP, NME2, PLA2G6, PNP",0.5633,0.4569,1.233,0.04826319721749349
18,5,PATTERN_37,3,9.241957293850309e-05,0.02097902097902098,0.02097902097902098,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
19,2,PATTERN_16,3,2.6226263788371937e-05,0.011988011988011988,0.023976023976023976,"RAB27A, STXBP2, UNC13D",0.3992,0.2103,1.898,6.802576134416763e-07
20,37,PATTERN_8,3,0.00010349066838768109,0.003996003996003996,0.023976023976023976,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
21,34,PATTERN_7,3,9.368149020533093e-05,0.007992007992007992,0.023976023976023976,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
22,33,PATTERN_69,5,8.56778602546228e-06,0.007992007992007992,0.023976023976023976,"C1QB, CSTB, CTSB, CTSL, MT2A",0.5022,0.3332,1.507,0.0004194122920667753
23,6,PATTERN_38,3,1.5096612030002364e-05,0.006993006993006993,0.027972027972027972,"GOLGA7, HRAS, NRAS",0.1737,0.1338,1.298,0.043079099099176066
24,22,PATTERN_59,12,2.3735927844965938e-05,0.005994005994005994,0.02997002997002997,"ARSA, ASAH1, CTSA, FUCA1, FUCA2, GALNS, GLA, GLB1, GNS, HEXB, NEU1, PSAP",0.1207,0.1005,1.201,0.0224476725650818
25,0,PATTERN_13,3,0.00010165849417795505,0.014985014985014986,0.029970029970029972,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
26,7,PATTERN_38,3,1.576464662052464e-05,0.007992007992007992,0.03196803196803197,"RAP1A, RAP1B, SIPA1",0.8801,0.5647,1.559,6.802576134416763e-07
27,20,PATTERN_58,3,6.127523039109368e-05,0.007992007992007992,0.03196803196803197,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
28,29,PATTERN_65,3,1.9032011358942544e-05,0.016983016983016984,0.03396603396603397,"ALOX5, COTL1, PLA2G2A",0.3313,0.2051,1.615,0.0016546840438175453
29,21,PATTERN_59,24,2.2187415093412885e-05,0.006993006993006993,0.03496503496503497,"ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, TCIRG1",0.267,0.2002,1.334,0.0009427780813554497
30,14,PATTERN_53,23,4.366860580896132e-06,0.008991008991008992,0.03596403596403597,"ABI1, ACTB, ACTG1, ACTR2, ACTR3, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, BRK1, CDC42, CFL1, CYFIP1, CYFIP2, NCKAP1, NCKAP1L, WAS, WASF1, WASF2, WASF3, WASL",1.0113,0.6438,1.571,4.0254223473285635e-06
31,3,PATTERN_24,10,2.283412184841305e-05,0.012987012987012988,0.03896103896103896,"SEC22B, SNAP23, SNAP25, SNAP29, STX3, STX4, VAMP2, VAMP3, VAMP7, VAMP8",0.2537,0.1687,1.504,8.598745929228812e-06
32,28,PATTERN_65,17,1.5114669519965366e-05,0.02097902097902098,0.04195804195804196,"CRCP, POLR1C, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K",0.2236,0.179,1.249,0.04237515279416145
33,1,PATTERN_15,5,6.989512363264975e-05,0.02097902097902098,0.04195804195804196,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
34,12,PATTERN_48,3,2.4452230205164304e-05,0.01098901098901099,0.04395604395604396,"TNFRSF1A, TNFRSF6B, TNFSF15",0.0453,0.0276,1.641,0.0034373303574209493
35,19,PATTERN_56,7,1.2908286741279181e-05,0.01098901098901099,0.04395604395604396,"BTRC, CUL1, FBXL3, FBXO4, FBXW5, RBX1, SKP1",0.466,0.3422,1.362,0.0011312716964482303
36,30,PATTERN_66,17,9.809647485340165e-06,0.04495504495504495,0.04495504495504495,"CRCP, POLR1C, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K",0.2236,0.179,1.249,0.04237515279416145
37,23,PATTERN_62,18,1.771704016571186e-05,0.008991008991008992,0.04495504495504496,"CRCP, POLR1C, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K, UBA52",0.3493,0.273,1.279,0.013431403568861714
38,36,PATTERN_8,5,8.098418790259502e-05,0.007992007992007992,0.04795204795204795,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
39,35,PATTERN_72,3,4.165275548790882e-06,0.015984015984015984,0.04795204795204795,"CAPN1, FTH1, FTL",1.8424,1.4203,1.297,0.0019055631669592282
