"gene_patient_celltype","d0","d1","d2","d5","d9","d15"
"SNX7_im_CyclingCD8memoryactivatedT",0,0,0,0.00843146982741846,0,0
"AC003988.1_rs_CD4memoryT",0,0,0,0,0,0
"TSPAN33_sz_γδTcells",0.00315946979744124,0.019510681621242,0,0,0,0
"NFXL1_em_CD8memoryactivatedT",0,0,0,0.10701031611833,0.0991283888973281,0.106599364366603
"AC084125.3_gz_CIKcells",0,0,0,0,0,0
"AL589693.1_at_Neutrophils",0.130445449964139,0.193433341403561,0,0,0,0
"AL645504.1_at_CyclingCD8T",0,0,0,0,0,0
"AL137060.3_gz_CD4memoryT",0.0106550197424901,0.00483591796827043,0,0,0,0
"ARG1_rs_CD4memoryactivatedT",0,0,0.087178056832731,0.0087052766668507,0.02077825857989,0.0272673274447955
"RAVER1_at_CD8effectormemoryT",0,0,0.139824750255749,0,0.292994559820448,0
"AC078881.1_im_NK3adaptive/terminallymature",0,0,0.33458995332294,0.0544397731973148,0.0861573369340181,0.0285990307314937
"AL358215.1_ev_CD8memoryactivatedT",0,0,0,0,0,0
"AL354702.2_im_CD8memoryactivatedT",0,0,0,0,0,0
"COG6_im_Bcells",0.110027358371552,0.122124323284243,0.166171735443723,0.110796668762729,0.291662996713692,0.645072599372058
"ITLN2_ev_CD4naiveT",0,0,0,0,0,0
"TSC22D3_em_CD4cytotoxicT",0,0.151849904115145,0.10360063702808,0.124595067975916,0,0
"FAM229A_em_CyclingCD8T",0,0,0,0.0080040714044466,0.0071108653218772,0.0115340852071063
"LINC02514_at_CIKcells",0,0,0,0,0,0
"LINC01963_im_Neutrophils",0.0173417021332964,0,0,0,0,0
"AC104435.2_gz_CD8memoryactivatedT",0,0,0,0,0.000539305591249867,0.00642276738944375
"AP003486.1_rs_MyeloidDC",0,0.0051520315335685,0,0,0,0
"AC138028.6_ev_CD4memoryT",0,0,0,0,0,0
"LINC01226_at_CD8naiveactivatedT",0,0,0,0.00793242053523815,0.00246795658623589,0
"SP2-AS1_gz_MyeloidDC",0,0.0334363442788509,0.0205835442603861,0,0,0
"AC008663.2_em_CD8naiveactivatedT",0,0,0,0,0,0
"AC022034.3_ev_CyclingCD8T",0,0,0,8.84818396720903e-05,0,0
"AL162511.1_em_γδTcells",0,0,0,0,0,0
"AC116348.2_ev_CD8naiveT",0.00350942666077903,0,0,0,0,0
"AL008727.1_rs_Neutrophils",0,0,0,0,0,0
"AC068489.1_im_CD8naiveT",0,0,0,0,0,0
"LINC01502_at_CD8effectormemoryT",0,0,0.000292672690484256,0,0,0
"AC132938.1_rs_CD4cytotoxicT",0,0,0.00212261204371076,0,0,0
"LINC02324_gz_CD4naiveT",0,0,0,0,0,0
"AC007271.1_sz_CD8cytotoxicT",0,0,0,0,0,0
"NES_sz_CD8cytotoxicT",0,0,0.000906843985610065,0,0,0
"OSBP_im_NK3adaptive/terminallymature",0.491948453286331,0,0.357339988010079,0.267137254116873,0.166502992781969,0.260608707569732
"HSCB_rs_γδTcells",0.0522838896697732,0.0868388991123979,0.068880688651705,0,0,0
"AL023283.1_gz_NK3adaptive/terminallymature",0,0,0,0,0,0
"AC092159.1_im_MyeloidDC",0,0,0,0,0,0
"NECTIN3_ev_Bcells",0.00494373548005933,0,0.0199914529713051,0.0465911640108728,0,0
"SLC30A4_ev_Bcells",0.060901958400538,0.0669931672738533,0.0378505046341072,0.00891813137445407,0,0
"APOE_ec_NK2/NKintermediate",0,0,0,0,0,0
"EEFSEC_im_Monocytes",0.125402605563958,0,0,0,0,0
"AC092171.4_em_MyeloidDC",0,0,0,0,0,0
"AL139397.1_im_γδTcells",0,0,0,0,0,0
"RHPN2_gz_CD4memoryactivatedT",0,0.173506189957406,0,0.00327160814658023,0.00180479795182474,0
"GSTP1_at_NK1",1.34112863608094,1.41491946062348,0.982176873679107,1.38388865426605,1.59061570425708,0
"AC015722.1_ev_CD4naiveT",0,0,0,0,0,0
"AC005906.2_ec_γδTcells",0,0,0,0,0,0
"AL606804.1_im_MyeloidDC",0,0,0.00176333900435816,0,0,0
"DNAAF2_ec_γδTcells",0.132731082590799,0.110977609851841,0,0.115361801359599,0,0
"AC093334.1_ev_NK1",0,0,0,0,0,0
"AC118757.1_em_CD4memoryactivatedT",0,0,0,0,0.0028539829691872,0
"PAIP1_at_PlasmacytoidDC",0.434731156849032,0.604453989107429,0.377134915041109,0,0,0
"GLUL_rs_NK1",0.141392253772389,0.13269481053422,0.117561757857081,0.112559053744112,0,0
"ACBD3-AS1_ec_CD8effectormemoryT",0,0,0.00810757269691816,0,0,0
"NDFIP2_rs_CD4memoryT",0.0100014350476363,0.0144044743705483,0.0491983586418629,0,0,0
"AMBN_sz_NK2/NKintermediate",0,0,0,0,0,0
"PAGE2_gz_Bcells",0,0,0,0,0,0
"HSPA8_ev_CD8effectormemoryT",0,1.93708147724793,1.93278343540187,2.04260522949249,1.64189179728152,2.65623237836316
"AC009269.2_gz_MyeloidDC",0,0,0,0,0,0
"PHF21B_ev_CIKcells",0,0,0,0,0,0
"LINC01030_im_CyclingCD8T",0,0,0,0.000324096394270421,0,0
"ADAMTS8_sz_CD4cytotoxicT",0,0,0,0,0,0
"AC023157.3_ev_CD8naiveT",0.0370459930704621,0.0292125788399625,0,0,0,0
"PCSK4_ev_Bcells",0,0,0.00427820528921843,0.00223446233209935,0,0
"GALNT15_ec_CD4memoryT",0,0.0012384922451186,0,0,0,0
"AC087721.1_ec_CD8cytotoxicT",0,0,0,0,0,0
"AP001471.1_gz_Bcells",0,0,0,0,0,0
"SPATA42_em_CD4cytotoxicT",0,0,0,0,0,0
"AL137002.2_im_CD4memoryT",0,0,0,0,0,0
"LRP8_sz_CD8memoryactivatedT",0,0,0,0.263263431545675,0.229545389427581,0.1849562685597
"SUCLG2-AS1_sz_CD8effectormemoryT",0,0,0.015070568726784,0,0,0
"CENPB_gz_CD8naiveT",0.0561958625188846,0.0474741064438645,0,0,0,0
"ITFG1-AS1_rs_CyclingCD8T",0,0,0,0.00596739223568202,0.0135550948243496,0.00702660951713226
"Z99774.1_gz_CD8memoryactivatedT",0,0,0,0,0.00288595622776869,0
"NCF2_ev_Neutrophils",1.22570707020841,0.186764184201535,0,0,0,0
"AL627171.1_rs_CD8effectormemoryT",0,0.656253782151597,0.0413712730936585,0,0,0
"AC012313.8_rs_Bcells",0,0,0,0,0,0
"MASTL_ec_Bcells",0.0432507163931356,0.0560105851907505,0.116518860278522,0.270852340084128,0.215150846109675,0
"AC067852.3_im_CD8cytotoxicT",0,0,0.00115063943847659,0,0,0
"DDR2_at_CyclingCD8T",0,0,0,0.00802338348107649,0.00813225746050786,0.0108125515230829
"LINC02427_sz_CIKcells",0,0,0,0,0.016311988940853,0.010410811662829
"GPLD1_rs_CD8naiveT",0,0.00867427170221252,0.210286240276737,0,0,0
"LINC00463_im_Monocytes",0,0,0,0,0,0
"ABCF2_gz_NK3adaptive/terminallymature",0.131928066014504,0,0.278292710489575,0.260557674873712,0.186769987961258,0.12809669186221
"YBX2_sz_CD4naiveT",0.00091545810710751,0,0,0,0,0
"AC019080.6_ev_NK1",0,0,0,0,0,0
"LINC02643_em_CD4memoryactivatedT",0,0,0,0,0,0
"LEUTX_im_CD8naiveactivatedT",0,0,0,0,0,0
"CD19_at_CIKcells",0,0,0,0.00238897068762818,0,0
"PEMT_rs_PlasmacytoidDC",0.101650033612624,0.0277050371261371,0.0336371926149465,0,0,0
"FAM240C_sz_CD4cytotoxicT",0,0,0,0,0,0
"AP004147.1_ec_NK1",0.0353316027539372,0,0,0,0,0
"LINC01749_im_CD4memoryT",0,0,0,0,0,0
