node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAR	EIF2AK2	9606.ENSP00000357459	9606.ENSP00000233057	0	0	0	0.562	0.497	0.601	0	0.419	0.873
ADAR	DHX9	9606.ENSP00000357459	9606.ENSP00000356520	0	0	0	0	0.132	0.446	0	0.852	0.922
ADAR	MX1	9606.ENSP00000357459	9606.ENSP00000381601	0	0	0	0	0.483	0	0	0.487	0.723
ADAR	ZBP1	9606.ENSP00000357459	9606.ENSP00000360215	0	0	0	0	0.239	0	0	0.687	0.751
ADAR	DDX58	9606.ENSP00000357459	9606.ENSP00000369213	0	0	0	0	0.429	0	0	0.607	0.766
ADAR	IFIH1	9606.ENSP00000357459	9606.ENSP00000497271	0	0	0	0	0.285	0	0	0.800	0.851
ADAR	SAMHD1	9606.ENSP00000357459	9606.ENSP00000493536	0	0	0	0	0.118	0	0.500	0.718	0.864
AIM2	MEFV	9606.ENSP00000357112	9606.ENSP00000219596	0	0	0	0	0.062	0.044	0.540	0.999	0.999
AIM2	EIF2AK2	9606.ENSP00000357112	9606.ENSP00000233057	0	0	0	0	0.138	0.292	0	0.830	0.887
AIM2	PYCARD	9606.ENSP00000357112	9606.ENSP00000247470	0	0	0	0	0.065	0.839	0.900	0.998	0.999
AIM2	NLRC5	9606.ENSP00000357112	9606.ENSP00000262510	0	0	0	0	0.122	0	0	0.806	0.823
AIM2	NLRP6	9606.ENSP00000357112	9606.ENSP00000309767	0	0	0	0	0.073	0	0.900	0.996	0.999
AIM2	NLRP9	9606.ENSP00000357112	9606.ENSP00000331857	0	0	0	0	0.055	0	0.900	0.560	0.954
AIM2	NLRP3	9606.ENSP00000357112	9606.ENSP00000337383	0	0	0	0	0.085	0	0.900	0.999	0.999
AIM2	TLR9	9606.ENSP00000357112	9606.ENSP00000353874	0	0	0	0	0.059	0	0	0.696	0.701
AIM2	MAVS	9606.ENSP00000357112	9606.ENSP00000401980	0	0	0	0	0	0	0	0.714	0.714
AIM2	SQSTM1	9606.ENSP00000357112	9606.ENSP00000374455	0	0	0	0	0	0.510	0	0.448	0.717
AIM2	DDX3X	9606.ENSP00000357112	9606.ENSP00000494040	0	0	0	0	0	0	0.720	0.246	0.779
AIM2	CGAS	9606.ENSP00000357112	9606.ENSP00000359339	0	0	0	0	0.086	0	0	0.795	0.805
AIM2	CASP4	9606.ENSP00000357112	9606.ENSP00000388566	0	0	0	0	0.128	0	0.540	0.717	0.876
AIM2	IFI16	9606.ENSP00000357112	9606.ENSP00000357113	0	0	0	0.803	0.184	0	0	0.917	0.929
AIM2	DDX58	9606.ENSP00000357112	9606.ENSP00000369213	0	0	0	0	0.177	0	0	0.933	0.942
AIM2	GSDMD	9606.ENSP00000357112	9606.ENSP00000433209	0	0	0	0	0.056	0	0.720	0.816	0.947
AIM2	NLRP2	9606.ENSP00000357112	9606.ENSP00000445135	0	0	0	0	0.055	0	0	0.963	0.963
AIM2	NAIP	9606.ENSP00000357112	9606.ENSP00000428657	0	0	0	0	0.049	0	0.540	0.989	0.994
AIM2	NLRC4	9606.ENSP00000357112	9606.ENSP00000385428	0	0	0	0	0.087	0	0.720	0.999	0.999
AIM2	NLRP1	9606.ENSP00000357112	9606.ENSP00000460475	0	0	0	0	0.062	0	0.900	0.998	0.999
AKIRIN2	PSMA1	9606.ENSP00000257787	9606.ENSP00000414359	0	0	0	0	0.042	0.928	0	0	0.929
ALCAM	LGALS3	9606.ENSP00000305988	9606.ENSP00000254301	0	0	0	0	0.047	0.475	0	0.561	0.761
ALCAM	LILRB4	9606.ENSP00000305988	9606.ENSP00000375616	0	0	0	0	0	0.049	0	0.811	0.813
ALCAM	CD6	9606.ENSP00000305988	9606.ENSP00000323280	0	0	0	0	0	0.803	0.900	0.999	0.999
ALPK1	TIFA	9606.ENSP00000498374	9606.ENSP00000354911	0	0	0	0	0.130	0	0.700	0.770	0.934
ANXA1	LGALS3	9606.ENSP00000366109	9606.ENSP00000254301	0	0	0	0	0.310	0	0	0.633	0.736
ANXA1	SRC	9606.ENSP00000366109	9606.ENSP00000362680	0	0	0	0	0.047	0.072	0.500	0.549	0.774
APOBEC3A	APOBEC3B	9606.ENSP00000384359	9606.ENSP00000327459	0	0	0.048	0.980	0.131	0.800	0.500	0.386	0.939
APOBEC3A	APOBEC3C	9606.ENSP00000384359	9606.ENSP00000355340	0	0	0.093	0.841	0	0	0.500	0.470	0.738
APOBEC3A	APOBEC3H	9606.ENSP00000384359	9606.ENSP00000385741	0	0	0.103	0.766	0	0	0.500	0.518	0.765
APOBEC3B	APOBEC3C	9606.ENSP00000327459	9606.ENSP00000355340	0	0	0.058	0.937	0.083	0	0.500	0.414	0.713
APOBEC3B	APOBEC3H	9606.ENSP00000327459	9606.ENSP00000385741	0	0	0.115	0.762	0	0	0.500	0.520	0.769
APOBEC3C	APOBEC3H	9606.ENSP00000355340	9606.ENSP00000385741	0	0	0	0.798	0.060	0	0.500	0.496	0.742
APOBEC3F	TRIM5	9606.ENSP00000309749	9606.ENSP00000369373	0	0	0	0	0.127	0	0	0.675	0.704
APOBEC3F	APOBEC3G	9606.ENSP00000309749	9606.ENSP00000385057	0	0	0.073	0.928	0.633	0.292	0.720	0.166	0.933
APOBEC3G	CD4	9606.ENSP00000385057	9606.ENSP00000011653	0	0	0	0	0.062	0	0	0.761	0.767
APOBEC3G	BST2	9606.ENSP00000385057	9606.ENSP00000252593	0	0	0	0	0.109	0	0	0.939	0.943
APOBEC3G	TRIM5	9606.ENSP00000385057	9606.ENSP00000369373	0	0	0	0	0.150	0	0	0.920	0.929
APOBEC3G	SAMHD1	9606.ENSP00000385057	9606.ENSP00000493536	0	0	0	0	0.063	0	0	0.875	0.878
